Giới tính của bạn?,Độ tuổi của bạn?,Bạn đã làm việc tại công ty bao nhiêu năm?,Bộ phận làm việc của bạn?,Bạn tương tác với những loại ứng dụng AI nào trong công việc hàng ngày của mình?,Hãy đánh giá hiệu quả của các công cụ AI như thế nào trong việc giúp bạn hoàn thành nhiệm vụ của mình?,Các công cụ AI giúp bạn đạt được mục tiêu công việc theo những cách nào?,Ưu điểm của các công cụ AI mà bạn sử dụng là gì 1?,Ưu điểm của các công cụ AI mà bạn sử dụng là gì 2?,Hạn chế hoặc thách thức của AI trong công việc 1?,Hạn chế hoặc thách thức của AI trong công việc 2?,Hạn chế hoặc thách thức của AI trong công việc 3?,Hạn chế hoặc thách thức của AI trong công việc 4?,Bạn cảm thấy nhóm hoặc ban lãnh đạo của mình hỗ trợ bạn giải quyết các thách thức liên quan đến AI như thế nào?,Bạn tin rằng hành động nào sẽ cải thiện hiệu quả nhất của các công cụ AI trong công việc của bạn?
Nữ,35-44,1-3 năm,Công nghệ thông tin,Trò chuyện với chatbot và hỗ trợ khách hàng,2,Hiểu sâu hơn về nhu cầu và sở thích của khách hàng,Hỗ trợ đưa ra các quyết định nhanh chóng hơn,Tăng hiệu quả công việc,Giao diện khó sử dụng hoặc khó làm quen,Thiếu sự linh hoạt của AI trong việc áp dụng vào các nhiệm vụ đặc thù,Khả năng tối ưu hóa công việc bằng công cụ AI còn hạn chế,Khó diễn giải kết quả hoặc hiểu cách AI đưa ra phân tích,Không ủng hộ,Tăng cường giám sát và trách nhiệm giải trình
Nữ,18-34,3-6 năm,Nhân sự,Khác,3,Hiểu sâu hơn về nhu cầu và sở thích của khách hàng,Tăng hiệu quả công việc,Giảm thiểu lỗi và cải thiện độ chính xác trong công việc,Khó tận dụng hết các tính năng của AI để hỗ trợ công việc hiệu quả,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Khó khăn trong việc học cách sử dụng hoặc làm quen với công cụ AI,Khó tận dụng hết các tính năng của AI để hỗ trợ công việc hiệu quả,Không ủng hộ,Đầu tư vào các công cụ AI tốt hơn
Nam,35-44,1-3 năm,Tài chính,Tự động hóa quy trình (RPA),4,Cải thiện hiệu quả,Tiết kiệm thời gian,Giảm thiểu lỗi và cải thiện độ chính xác trong công việc,"Phụ thuộc vào chất lượng dữ liệu đầu vào, làm ảnh hưởng đến kết quả",Thiếu sự linh hoạt của AI trong việc áp dụng vào các nhiệm vụ đặc thù,Khó khăn trong việc học cách sử dụng hoặc làm quen với công cụ AI,Khó khăn trong việc học cách sử dụng hoặc làm quen với công cụ AI,Không ủng hộ,Cải thiện chất lượng dữ liệu
Nam,35-44,1-3 năm,Khác,Phân tích dự đoán,4,Cung cấp thông tin chi tiết dựa trên dữ liệu,Tăng hiệu quả công việc,Tiết kiệm thời gian,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,"Phụ thuộc vào chất lượng dữ liệu đầu vào, làm ảnh hưởng đến kết quả",Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Ủng hộ,Đầu tư vào các công cụ AI tốt hơn
Nam,18-34,6-9 năm,Tài chính,Phân tích dự đoán,4,Cải thiện hiệu quả,Hỗ trợ đưa ra các quyết định nhanh chóng hơn,Hỗ trợ đưa ra các quyết định nhanh chóng hơn,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Thiếu sự linh hoạt của AI trong việc áp dụng vào các nhiệm vụ đặc thù,Khả năng tối ưu hóa công việc bằng công cụ AI còn hạn chế,Khó tận dụng hết các tính năng của AI để hỗ trợ công việc hiệu quả,Trung lập,Tăng cường giám sát và trách nhiệm giải trình
Nữ,18-34,1-3 năm,Công nghệ thông tin,Học máy để phân tích dữ liệu,4,Hiểu sâu hơn về nhu cầu và sở thích của khách hàng,Hỗ trợ đưa ra các quyết định nhanh chóng hơn,Tiết kiệm thời gian,Giao diện khó sử dụng hoặc khó làm quen,Khó khăn trong việc học cách sử dụng hoặc làm quen với công cụ AI,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Ủng hộ,Tăng cường giám sát và trách nhiệm giải trình
Nam,18-34,1-3 năm,Tài chính,Tự động hóa quy trình (RPA),5,Nâng cao hiệu quả trong giao tiếp với khách hàng,Tăng hiệu quả công việc,Tiết kiệm thời gian,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Khả năng tối ưu hóa công việc bằng công cụ AI còn hạn chế,Khó tận dụng hết các tính năng của AI để hỗ trợ công việc hiệu quả,Thiếu sự linh hoạt của AI trong việc áp dụng vào các nhiệm vụ đặc thù,Không ủng hộ,Tăng ngân sách bảo trì AI
Nam,35-44,3-6 năm,Công nghệ thông tin,Học máy để phân tích dữ liệu,4,Cung cấp thông tin chi tiết dựa trên dữ liệu,Tăng hiệu quả công việc,Tăng hiệu quả công việc,Khó diễn giải kết quả hoặc hiểu cách AI đưa ra phân tích,Thiếu sự linh hoạt của AI trong việc áp dụng vào các nhiệm vụ đặc thù,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Thiếu sự linh hoạt của AI trong việc áp dụng vào các nhiệm vụ đặc thù,Không ủng hộ,Đầu tư vào các công cụ AI tốt hơn
Nam,18-34,1-3 năm,Marketing,Nhận dạng hình ảnh hoặc giọng nói,4,Cải thiện hiệu quả,Tăng hiệu quả công việc,Tăng hiệu quả công việc,Khó khăn trong việc học cách sử dụng hoặc làm quen với công cụ AI,Khó khăn trong việc học cách sử dụng hoặc làm quen với công cụ AI,Giao diện khó sử dụng hoặc khó làm quen,Khó tận dụng hết các tính năng của AI để hỗ trợ công việc hiệu quả,Trung lập,Cải thiện chất lượng dữ liệu
Nam,35-44,6-9 năm,Tài chính,Nhận dạng hình ảnh hoặc giọng nói,5,Nâng cao hiệu quả trong giao tiếp với khách hàng,Tăng hiệu quả công việc,Giảm thiểu lỗi và cải thiện độ chính xác trong công việc,Khó diễn giải kết quả hoặc hiểu cách AI đưa ra phân tích,"Phụ thuộc vào chất lượng dữ liệu đầu vào, làm ảnh hưởng đến kết quả",Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Thiếu sự linh hoạt của AI trong việc áp dụng vào các nhiệm vụ đặc thù,Ủng hộ,Cung cấp đào tạo bổ sung
Nam,35-44,1-3 năm,Tài chính,Nhận dạng hình ảnh hoặc giọng nói,2,Hiểu sâu hơn về nhu cầu và sở thích của khách hàng,Hỗ trợ đưa ra các quyết định nhanh chóng hơn,Giảm thiểu lỗi và cải thiện độ chính xác trong công việc,Khó khăn trong việc học cách sử dụng hoặc làm quen với công cụ AI,Khó khăn trong việc học cách sử dụng hoặc làm quen với công cụ AI,Khó diễn giải kết quả hoặc hiểu cách AI đưa ra phân tích,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Không ủng hộ,Đầu tư vào các công cụ AI tốt hơn
Nam,18-34,Hơn 9 năm,Công nghệ thông tin,Khác,3,Giảm khối lượng công việc thủ công,Tiết kiệm thời gian,Hỗ trợ đưa ra các quyết định nhanh chóng hơn,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Giao diện khó sử dụng hoặc khó làm quen,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Ủng hộ,Tăng cường giám sát và trách nhiệm giải trình
Nữ,35-44,1-3 năm,Nhân sự,Tự động hóa quy trình (RPA),4,Nâng cao hiệu quả trong giao tiếp với khách hàng,Tiết kiệm thời gian,Tăng hiệu quả công việc,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,"Phụ thuộc vào chất lượng dữ liệu đầu vào, làm ảnh hưởng đến kết quả",Khó diễn giải kết quả hoặc hiểu cách AI đưa ra phân tích,Giao diện khó sử dụng hoặc khó làm quen,Trung lập,Cung cấp đào tạo bổ sung
Nữ,18-34,Hơn 9 năm,Tài chính,Trò chuyện với chatbot và hỗ trợ khách hàng,5,Cải thiện hiệu quả,Tăng hiệu quả công việc,Tiết kiệm thời gian,Khó khăn trong việc học cách sử dụng hoặc làm quen với công cụ AI,Khó khăn trong việc học cách sử dụng hoặc làm quen với công cụ AI,Khó tận dụng hết các tính năng của AI để hỗ trợ công việc hiệu quả,Giao diện khó sử dụng hoặc khó làm quen,Không ủng hộ,Tăng ngân sách bảo trì AI
Nữ,18-34,3-6 năm,Marketing,Học máy để phân tích dữ liệu,5,Cung cấp thông tin chi tiết dựa trên dữ liệu,Giảm thiểu lỗi và cải thiện độ chính xác trong công việc,Tiết kiệm thời gian,Khả năng tối ưu hóa công việc bằng công cụ AI còn hạn chế,Thiếu sự linh hoạt của AI trong việc áp dụng vào các nhiệm vụ đặc thù,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Trung lập,Tăng ngân sách bảo trì AI
Nam,18-34,3-6 năm,Công nghệ thông tin,Khác,4,Cung cấp thông tin chi tiết dựa trên dữ liệu,Tiết kiệm thời gian,Hỗ trợ đưa ra các quyết định nhanh chóng hơn,Giao diện khó sử dụng hoặc khó làm quen,"Phụ thuộc vào chất lượng dữ liệu đầu vào, làm ảnh hưởng đến kết quả",Khó tận dụng hết các tính năng của AI để hỗ trợ công việc hiệu quả,"Phụ thuộc vào chất lượng dữ liệu đầu vào, làm ảnh hưởng đến kết quả",Ủng hộ,Cải thiện chất lượng dữ liệu
Nam,35-44,6-9 năm,Khác,Trò chuyện với chatbot và hỗ trợ khách hàng,5,Cải thiện hiệu quả,Hỗ trợ đưa ra các quyết định nhanh chóng hơn,Giảm thiểu lỗi và cải thiện độ chính xác trong công việc,Giao diện khó sử dụng hoặc khó làm quen,Khả năng tối ưu hóa công việc bằng công cụ AI còn hạn chế,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Khó diễn giải kết quả hoặc hiểu cách AI đưa ra phân tích,Trung lập,Tăng cường giám sát và trách nhiệm giải trình
Nam,35-44,Hơn 9 năm,Marketing,Phân tích dự đoán,4,Cải thiện hiệu quả,Tăng hiệu quả công việc,Hỗ trợ đưa ra các quyết định nhanh chóng hơn,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Thiếu sự linh hoạt của AI trong việc áp dụng vào các nhiệm vụ đặc thù,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,"Phụ thuộc vào chất lượng dữ liệu đầu vào, làm ảnh hưởng đến kết quả",Không ủng hộ,Tăng ngân sách bảo trì AI
Nữ,18-34,1-3 năm,Công nghệ thông tin,Trò chuyện với chatbot và hỗ trợ khách hàng,4,Giảm khối lượng công việc thủ công,Tiết kiệm thời gian,Tiết kiệm thời gian,Khó khăn trong việc học cách sử dụng hoặc làm quen với công cụ AI,Khả năng tối ưu hóa công việc bằng công cụ AI còn hạn chế,Khó tận dụng hết các tính năng của AI để hỗ trợ công việc hiệu quả,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Trung lập,Đầu tư vào các công cụ AI tốt hơn
Nam,18-34,3-6 năm,Tài chính,Tự động hóa quy trình (RPA),2,Cải thiện hiệu quả,Tiết kiệm thời gian,Tăng hiệu quả công việc,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Thiếu sự linh hoạt của AI trong việc áp dụng vào các nhiệm vụ đặc thù,Khó diễn giải kết quả hoặc hiểu cách AI đưa ra phân tích,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Trung lập,Tăng cường giám sát và trách nhiệm giải trình
Nam,45 tuổi trở lên,1-3 năm,Tài chính,Trò chuyện với chatbot và hỗ trợ khách hàng,4,Cải thiện hiệu quả,Tăng hiệu quả công việc,Tăng hiệu quả công việc,"Phụ thuộc vào chất lượng dữ liệu đầu vào, làm ảnh hưởng đến kết quả",Khó tận dụng hết các tính năng của AI để hỗ trợ công việc hiệu quả,Giao diện khó sử dụng hoặc khó làm quen,"Phụ thuộc vào chất lượng dữ liệu đầu vào, làm ảnh hưởng đến kết quả",Không ủng hộ,Khác
Nữ,35-44,Hơn 9 năm,Công nghệ thông tin,Học máy để phân tích dữ liệu,4,Giảm khối lượng công việc thủ công,Tiết kiệm thời gian,Hỗ trợ đưa ra các quyết định nhanh chóng hơn,Khả năng tối ưu hóa công việc bằng công cụ AI còn hạn chế,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Giao diện khó sử dụng hoặc khó làm quen,Khả năng tối ưu hóa công việc bằng công cụ AI còn hạn chế,Trung lập,Cải thiện chất lượng dữ liệu
Nam,18-34,Hơn 9 năm,Khác,Trò chuyện với chatbot và hỗ trợ khách hàng,4,Nâng cao hiệu quả trong giao tiếp với khách hàng,Giảm thiểu lỗi và cải thiện độ chính xác trong công việc,Tăng hiệu quả công việc,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Khả năng tối ưu hóa công việc bằng công cụ AI còn hạn chế,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,"Phụ thuộc vào chất lượng dữ liệu đầu vào, làm ảnh hưởng đến kết quả",Ủng hộ,Cải thiện chất lượng dữ liệu
Nữ,18-34,1-3 năm,Công nghệ thông tin,Nhận dạng hình ảnh hoặc giọng nói,4,Cải thiện hiệu quả,Tiết kiệm thời gian,Giảm thiểu lỗi và cải thiện độ chính xác trong công việc,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,"Phụ thuộc vào chất lượng dữ liệu đầu vào, làm ảnh hưởng đến kết quả","Phụ thuộc vào chất lượng dữ liệu đầu vào, làm ảnh hưởng đến kết quả",Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Trung lập,Cung cấp đào tạo bổ sung
Nam,45 tuổi trở lên,3-6 năm,Tài chính,Học máy để phân tích dữ liệu,5,Hiểu sâu hơn về nhu cầu và sở thích của khách hàng,Tăng hiệu quả công việc,Tăng hiệu quả công việc,Khả năng tối ưu hóa công việc bằng công cụ AI còn hạn chế,Thiếu sự linh hoạt của AI trong việc áp dụng vào các nhiệm vụ đặc thù,Khả năng tối ưu hóa công việc bằng công cụ AI còn hạn chế,Giao diện khó sử dụng hoặc khó làm quen,Ủng hộ,Cải thiện chất lượng dữ liệu
Nam,35-44,3-6 năm,Công nghệ thông tin,Học máy để phân tích dữ liệu,4,Cải thiện hiệu quả,Hỗ trợ đưa ra các quyết định nhanh chóng hơn,Tăng hiệu quả công việc,Khả năng tối ưu hóa công việc bằng công cụ AI còn hạn chế,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Thiếu sự linh hoạt của AI trong việc áp dụng vào các nhiệm vụ đặc thù,Khó khăn trong việc học cách sử dụng hoặc làm quen với công cụ AI,Không ủng hộ,Cung cấp đào tạo bổ sung
Nam,35-44,1-3 năm,Nhân sự,Phân tích dự đoán,4,Giảm khối lượng công việc thủ công,Giảm thiểu lỗi và cải thiện độ chính xác trong công việc,Tiết kiệm thời gian,Giao diện khó sử dụng hoặc khó làm quen,Khó diễn giải kết quả hoặc hiểu cách AI đưa ra phân tích,Khó khăn trong việc học cách sử dụng hoặc làm quen với công cụ AI,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Trung lập,Tăng cường giám sát và trách nhiệm giải trình
Nam,18-34,Hơn 9 năm,Khác,Học máy để phân tích dữ liệu,4,Cung cấp thông tin chi tiết dựa trên dữ liệu,Tiết kiệm thời gian,Tiết kiệm thời gian,Thiếu sự linh hoạt của AI trong việc áp dụng vào các nhiệm vụ đặc thù,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Trung lập,Đầu tư vào các công cụ AI tốt hơn
Nam,18-34,Hơn 9 năm,Marketing,Phân tích dự đoán,3,Giảm khối lượng công việc thủ công,Giảm thiểu lỗi và cải thiện độ chính xác trong công việc,Giảm thiểu lỗi và cải thiện độ chính xác trong công việc,Thiếu sự linh hoạt của AI trong việc áp dụng vào các nhiệm vụ đặc thù,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Khó tận dụng hết các tính năng của AI để hỗ trợ công việc hiệu quả,Giao diện khó sử dụng hoặc khó làm quen,Trung lập,Đầu tư vào các công cụ AI tốt hơn
Nam,18-34,Hơn 9 năm,Marketing,Học máy để phân tích dữ liệu,3,Cải thiện hiệu quả,Tiết kiệm thời gian,Tiết kiệm thời gian,Khó diễn giải kết quả hoặc hiểu cách AI đưa ra phân tích,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Ủng hộ,Tăng cường giám sát và trách nhiệm giải trình
Nam,45 tuổi trở lên,1-3 năm,Khác,Phân tích dự đoán,4,Nâng cao hiệu quả trong giao tiếp với khách hàng,Tăng hiệu quả công việc,Giảm thiểu lỗi và cải thiện độ chính xác trong công việc,Giao diện khó sử dụng hoặc khó làm quen,Khó khăn trong việc học cách sử dụng hoặc làm quen với công cụ AI,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Khó khăn trong việc học cách sử dụng hoặc làm quen với công cụ AI,Ủng hộ,Cung cấp đào tạo bổ sung
Nam,45 tuổi trở lên,1-3 năm,Khác,Học máy để phân tích dữ liệu,3,Cải thiện hiệu quả,Tiết kiệm thời gian,Tiết kiệm thời gian,Khả năng tối ưu hóa công việc bằng công cụ AI còn hạn chế,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Không ủng hộ,Đầu tư vào các công cụ AI tốt hơn
Nam,35-44,Hơn 9 năm,Tài chính,Học máy để phân tích dữ liệu,3,Giảm khối lượng công việc thủ công,Tiết kiệm thời gian,Tăng hiệu quả công việc,Khó tận dụng hết các tính năng của AI để hỗ trợ công việc hiệu quả,Khó diễn giải kết quả hoặc hiểu cách AI đưa ra phân tích,Khả năng tối ưu hóa công việc bằng công cụ AI còn hạn chế,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Trung lập,Tăng cường giám sát và trách nhiệm giải trình
Nam,18-34,1-3 năm,Công nghệ thông tin,Học máy để phân tích dữ liệu,4,Giảm khối lượng công việc thủ công,Tiết kiệm thời gian,Giảm thiểu lỗi và cải thiện độ chính xác trong công việc,Khó tận dụng hết các tính năng của AI để hỗ trợ công việc hiệu quả,Khó khăn trong việc học cách sử dụng hoặc làm quen với công cụ AI,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Không ủng hộ,Đầu tư vào các công cụ AI tốt hơn
Nam,18-34,1-3 năm,Marketing,Tự động hóa quy trình (RPA),4,Cung cấp thông tin chi tiết dựa trên dữ liệu,Tăng hiệu quả công việc,Giảm thiểu lỗi và cải thiện độ chính xác trong công việc,Khó tận dụng hết các tính năng của AI để hỗ trợ công việc hiệu quả,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Không ủng hộ,Cung cấp đào tạo bổ sung
Nam,18-34,3-6 năm,Tài chính,Học máy để phân tích dữ liệu,4,Cải thiện hiệu quả,Tăng hiệu quả công việc,Tăng hiệu quả công việc,Khả năng tối ưu hóa công việc bằng công cụ AI còn hạn chế,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Khó tận dụng hết các tính năng của AI để hỗ trợ công việc hiệu quả,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Không ủng hộ,Cung cấp đào tạo bổ sung
Nam,35-44,1-3 năm,Tài chính,Khác,4,Hiểu sâu hơn về nhu cầu và sở thích của khách hàng,Giảm thiểu lỗi và cải thiện độ chính xác trong công việc,Tăng hiệu quả công việc,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Khó tận dụng hết các tính năng của AI để hỗ trợ công việc hiệu quả,Trung lập,Khác
Nữ,45 tuổi trở lên,6-9 năm,Tài chính,Khác,4,Nâng cao hiệu quả trong giao tiếp với khách hàng,Giảm thiểu lỗi và cải thiện độ chính xác trong công việc,Tiết kiệm thời gian,Giao diện khó sử dụng hoặc khó làm quen,Khó tận dụng hết các tính năng của AI để hỗ trợ công việc hiệu quả,Khó tận dụng hết các tính năng của AI để hỗ trợ công việc hiệu quả,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Trung lập,Cung cấp đào tạo bổ sung
Nam,35-44,1-3 năm,Tài chính,Khác,5,Cung cấp thông tin chi tiết dựa trên dữ liệu,Hỗ trợ đưa ra các quyết định nhanh chóng hơn,Tăng hiệu quả công việc,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Trung lập,Đầu tư vào các công cụ AI tốt hơn
Nam,45 tuổi trở lên,6-9 năm,Tài chính,Học máy để phân tích dữ liệu,4,Cải thiện hiệu quả,Tiết kiệm thời gian,Hỗ trợ đưa ra các quyết định nhanh chóng hơn,Khó tận dụng hết các tính năng của AI để hỗ trợ công việc hiệu quả,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Khó diễn giải kết quả hoặc hiểu cách AI đưa ra phân tích,Khả năng tối ưu hóa công việc bằng công cụ AI còn hạn chế,Ủng hộ,Cung cấp đào tạo bổ sung
Nam,35-44,6-9 năm,Tài chính,Trò chuyện với chatbot và hỗ trợ khách hàng,4,Giảm khối lượng công việc thủ công,Tăng hiệu quả công việc,Giảm thiểu lỗi và cải thiện độ chính xác trong công việc,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Giao diện khó sử dụng hoặc khó làm quen,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Ủng hộ,Cải thiện chất lượng dữ liệu
Nam,18-34,1-3 năm,Khác,Học máy để phân tích dữ liệu,5,Cung cấp thông tin chi tiết dựa trên dữ liệu,Hỗ trợ đưa ra các quyết định nhanh chóng hơn,Hỗ trợ đưa ra các quyết định nhanh chóng hơn,Thiếu sự linh hoạt của AI trong việc áp dụng vào các nhiệm vụ đặc thù,Giao diện khó sử dụng hoặc khó làm quen,Giao diện khó sử dụng hoặc khó làm quen,"Phụ thuộc vào chất lượng dữ liệu đầu vào, làm ảnh hưởng đến kết quả",Trung lập,Tăng ngân sách bảo trì AI
Nữ,45 tuổi trở lên,6-9 năm,Marketing,Nhận dạng hình ảnh hoặc giọng nói,4,Giảm khối lượng công việc thủ công,Tăng hiệu quả công việc,Tăng hiệu quả công việc,Giao diện khó sử dụng hoặc khó làm quen,"Phụ thuộc vào chất lượng dữ liệu đầu vào, làm ảnh hưởng đến kết quả",Khả năng tối ưu hóa công việc bằng công cụ AI còn hạn chế,Khả năng tối ưu hóa công việc bằng công cụ AI còn hạn chế,Không ủng hộ,Tăng cường giám sát và trách nhiệm giải trình
Nữ,35-44,1-3 năm,Nhân sự,Tự động hóa quy trình (RPA),5,Cung cấp thông tin chi tiết dựa trên dữ liệu,Tăng hiệu quả công việc,Hỗ trợ đưa ra các quyết định nhanh chóng hơn,Khó diễn giải kết quả hoặc hiểu cách AI đưa ra phân tích,Khó tận dụng hết các tính năng của AI để hỗ trợ công việc hiệu quả,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Trung lập,Cung cấp đào tạo bổ sung
Nữ,18-34,3-6 năm,Tài chính,Học máy để phân tích dữ liệu,2,Giảm khối lượng công việc thủ công,Tiết kiệm thời gian,Giảm thiểu lỗi và cải thiện độ chính xác trong công việc,Khó khăn trong việc học cách sử dụng hoặc làm quen với công cụ AI,"Phụ thuộc vào chất lượng dữ liệu đầu vào, làm ảnh hưởng đến kết quả",Khó tận dụng hết các tính năng của AI để hỗ trợ công việc hiệu quả,Giao diện khó sử dụng hoặc khó làm quen,Ủng hộ,Đầu tư vào các công cụ AI tốt hơn
Nam,18-34,6-9 năm,Công nghệ thông tin,Phân tích dự đoán,4,Cải thiện hiệu quả,Tiết kiệm thời gian,Giảm thiểu lỗi và cải thiện độ chính xác trong công việc,Thiếu sự linh hoạt của AI trong việc áp dụng vào các nhiệm vụ đặc thù,Khó diễn giải kết quả hoặc hiểu cách AI đưa ra phân tích,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Khó khăn trong việc học cách sử dụng hoặc làm quen với công cụ AI,Không ủng hộ,Cung cấp đào tạo bổ sung
Nữ,35-44,6-9 năm,Marketing,Học máy để phân tích dữ liệu,5,Hiểu sâu hơn về nhu cầu và sở thích của khách hàng,Tăng hiệu quả công việc,Tiết kiệm thời gian,"Phụ thuộc vào chất lượng dữ liệu đầu vào, làm ảnh hưởng đến kết quả",Giao diện khó sử dụng hoặc khó làm quen,Khó tận dụng hết các tính năng của AI để hỗ trợ công việc hiệu quả,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Ủng hộ,Cung cấp đào tạo bổ sung
Nam,18-34,Hơn 9 năm,Tài chính,Học máy để phân tích dữ liệu,2,Giảm khối lượng công việc thủ công,Tăng hiệu quả công việc,Hỗ trợ đưa ra các quyết định nhanh chóng hơn,Giao diện khó sử dụng hoặc khó làm quen,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Giao diện khó sử dụng hoặc khó làm quen,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Không ủng hộ,Cải thiện chất lượng dữ liệu
Nam,35-44,6-9 năm,Công nghệ thông tin,Trò chuyện với chatbot và hỗ trợ khách hàng,4,Cung cấp thông tin chi tiết dựa trên dữ liệu,Tăng hiệu quả công việc,Giảm thiểu lỗi và cải thiện độ chính xác trong công việc,Khó diễn giải kết quả hoặc hiểu cách AI đưa ra phân tích,"Phụ thuộc vào chất lượng dữ liệu đầu vào, làm ảnh hưởng đến kết quả",Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Mối quan tâm về đạo đức hoặc tuân thủ các quy định liên quan đến AI,Trung lập,Cung cấp đào tạo bổ sung
Nam,18-34,Hơn 9 năm,Công nghệ thông tin,Trò chuyện với chatbot và hỗ trợ khách hàng,5,Cải thiện hiệu quả,Tăng hiệu quả công việc,Tiết kiệm thời gian,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Mối quan ngại về quyền riêng tư dữ liệu và bảo mật thông tin,Thiếu sự linh hoạt của AI trong việc áp dụng vào các nhiệm vụ đặc thù,Ủng hộ,Cải thiện chất lượng dữ liệu
